Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S154519594,Canada Goose,Branta canadensis,330,36,US-CA,Santa Clara,L4309025,Central Park,37.3427558,-121.975193,2023-11-15,09:00 AM,eBird - Traveling Count,120,1,8.047,,1
S50529881,Canada Goose,Branta canadensis,330,20,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2018-12-08,09:00 AM,eBird - Traveling Count,150,1,4.828,,30,,,SCVAS outing at Charleston Slough.
S56206730,Canada Goose,Branta canadensis,330,12,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2019-05-12,09:00 AM,eBird - Traveling Count,120,1,4.828,,30
S63409860,Canada Goose,Branta canadensis,330,6,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-01-14,03:00 PM,eBird - Traveling Count,150,1,4.023,,1
S65632601,Canada Goose,Branta canadensis,330,30,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-03-08,03:30 PM,eBird - Traveling Count,90,1,4.023,,1
S68453585,Canada Goose,Branta canadensis,330,24,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-05-05,08:00 AM,eBird - Traveling Count,120,1,3.219,,2
S70320984,Canada Goose,Branta canadensis,330,20,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-06-11,08:00 AM,eBird - Traveling Count,60,1,3.219,,2
S70613225,Canada Goose,Branta canadensis,330,10,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-06-18,08:00 AM,eBird - Traveling Count,90,1,3.219,,1
S71058521,Canada Goose,Branta canadensis,330,20,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-07-02,08:00 AM,eBird - Traveling Count,90,1,4.828,,2
S72379830,Canada Goose,Branta canadensis,330,60,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-08-13,08:00 AM,eBird - Traveling Count,75,1,3.219,,2
S73713262,Canada Goose,Branta canadensis,330,200,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-09-17,08:00 AM,eBird - Traveling Count,120,1,3.219,,2
S74571620,Canada Goose,Branta canadensis,330,80,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-10-08,08:00 AM,eBird - Traveling Count,90,1,3.219,,1
S75236066,Canada Goose,Branta canadensis,330,24,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-10-22,08:00 AM,eBird - Traveling Count,90,1,3.219,,2
S75876913,Canada Goose,Branta canadensis,330,120,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-11-05,08:00 AM,eBird - Traveling Count,90,1,4.023,,2
S77025553,Canada Goose,Branta canadensis,330,12,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-12-03,08:00 AM,eBird - Traveling Count,120,1,5.633,,2
S77604826,Canada Goose,Branta canadensis,330,60,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-12-16,09:00 AM,eBird - Traveling Count,60,1,3.219,,1
S77925517,Canada Goose,Branta canadensis,330,80,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-12-24,08:00 AM,eBird - Traveling Count,75,1,4.023,,1
S83677016,Canada Goose,Branta canadensis,330,24,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2021-03-18,08:00 AM,eBird - Traveling Count,75,1,2.414,,2
S85661736,Canada Goose,Branta canadensis,330,24,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2021-04-15,08:00 AM,eBird - Traveling Count,120,1,5.633,,2
S88011724,Canada Goose,Branta canadensis,330,100,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2021-05-13,08:00 AM,eBird - Traveling Count,120,1,3.219,,2
S89056031,Canada Goose,Branta canadensis,330,24,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2021-05-26,08:00 AM,eBird - Traveling Count,180,1,4.426,,2
S89956531,Canada Goose,Branta canadensis,330,12,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2021-06-10,08:00 AM,eBird - Traveling Count,120,1,6.035,,2
S150773078,Canada Goose,Branta canadensis,330,40,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2023-09-24,08:30 AM,eBird - Traveling Count,120,1,8.047,,1
S50376602,Canada Goose,Branta canadensis,330,6,US-CA,Santa Clara,L791709,Coyote Creek Trail--Ranch Dr. access,37.4259852,-121.9245958,2018-12-02,09:00 AM,eBird - Traveling Count,180,1,3.219,,50
S57065316,Canada Goose,Branta canadensis,330,5,US-CA,Santa Clara,L1454658,Coyote Valley OSP,37.1699462,-121.7360955,2019-06-03,07:29 AM,eBird - Traveling Count,200,1,1.609,,14,,Small group flying south along ridge line ,SCVAS Field Trip. Fog held on until about 9:30 or so
S71847836,Canada Goose,Branta canadensis,330,100,US-CA,Santa Clara,L694875,Emily Renzel Wetlands,37.4425693,-122.1150649,2020-07-23,08:00 AM,eBird - Traveling Count,75,1,1.609,,2
S84556354,Canada Goose,Branta canadensis,330,36,US-CA,Santa Clara,L694875,Emily Renzel Wetlands,37.4425693,-122.1150649,2021-04-01,08:00 AM,eBird - Traveling Count,60,1,2.414,,2
S48920329,Canada Goose,Branta canadensis,330,6,US-CA,Santa Clara,L279253,Lake Cunningham,37.3354711,-121.8062038,2018-09-23,09:00 AM,eBird - Traveling Count,180,1,.805,,25,,,Led by Vicki Silvas-Young for Santa Clara Valley Audubon Society and Arvind Kumar for California Native Plant Society.
S54187624,Canada Goose,Branta canadensis,330,20,US-CA,Santa Clara,L279253,Lake Cunningham,37.3354711,-121.8062038,2019-03-24,09:00 AM,eBird - Traveling Count,180,1,3.219,,30,,,"Led jointly for Openspace, Santa Clara Valley chapter of the California Native Plant Society, and Santa Clara Valley Audubon Society."
S60033690,Canada Goose,Branta canadensis,330,15,US-CA,Santa Clara,L279253,Lake Cunningham,37.3354711,-121.8062038,2019-09-21,09:00 AM,eBird - Traveling Count,180,1,6.437,,25
S69516748,Canada Goose,Branta canadensis,330,12,US-CA,Santa Clara,L279253,Lake Cunningham,37.3354711,-121.8062038,2020-05-23,08:00 AM,eBird - Traveling Count,60,1,3.219,,1
S51072142,Canada Goose,Branta canadensis,330,12,US-CA,Santa Clara,L199667,Los Alamitos Creek Trail--Almaden Lake Park,37.2381022,-121.8708828,2018-12-29,09:30 AM,eBird - Traveling Count,150,1,3.219,,8,,,"Christmas bird count, part 2"
S71232925,Canada Goose,Branta canadensis,330,30,US-CA,Santa Clara,L199667,Los Alamitos Creek Trail--Almaden Lake Park,37.2381022,-121.8708828,2020-07-07,08:30 AM,eBird - Traveling Count,80,1,4.023,,1
S49360269,Canada Goose,Branta canadensis,330,24,US-CA,Santa Clara,L8055622,Los Gatos Creek County Park,37.2945257,-121.9657572,2018-10-21,03:30 PM,eBird - Traveling Count,150,1,4.828,,1
S49506138,Canada Goose,Branta canadensis,330,30,US-CA,Santa Clara,L8055622,Los Gatos Creek County Park,37.2945257,-121.9657572,2018-10-27,08:00 AM,eBird - Traveling Count,210,1,3.219,,20,,,Santa Clara Valley Audubon Society outing
S64917012,Canada Goose,Branta canadensis,330,40,US-CA,Santa Clara,L8055622,Los Gatos Creek County Park,37.2945257,-121.9657572,2020-02-23,10:00 AM,eBird - Traveling Count,120,1,6.437,,1,,,Up to Vasona Reservoir and back.
S50194870,Canada Goose,Branta canadensis,330,100,US-CA,Santa Clara,L295710,Los Gatos Creek County Park and Oka Ponds,37.2664712,-121.9515038,2018-11-24,02:00 PM,eBird - Traveling Count,180,1,3.219,,1
S50355018,Canada Goose,Branta canadensis,330,10,US-CA,Santa Clara,L295710,Los Gatos Creek County Park and Oka Ponds,37.2664712,-121.9515038,2018-12-01,11:00 AM,eBird - Traveling Count,60,1,1.609,,1
S53076672,Canada Goose,Branta canadensis,330,50,US-CA,Santa Clara,L295710,Los Gatos Creek County Park and Oka Ponds,37.2664712,-121.9515038,2019-02-23,02:30 PM,eBird - Traveling Count,150,1,9.656,,1
S142704082,Canada Goose,Branta canadensis,330,48,US-CA,Santa Clara,L295710,Los Gatos Creek County Park and Oka Ponds,37.2664712,-121.9515038,2023-06-25,09:00 AM,eBird - Traveling Count,120,1,9.656,,1
S151203164,Canada Goose,Branta canadensis,330,12,US-CA,Santa Clara,L295710,Los Gatos Creek County Park and Oka Ponds,37.2664712,-121.9515038,2023-10-01,09:30 AM,eBird - Traveling Count,180,1,12.07,,1,,,Stacks in Campbell to Oka Ponds far end and back.
S56566606,Canada Goose,Branta canadensis,330,100,US-CA,Santa Clara,L1148142,Los Gatos Creek Trail--north of Camden Ave.,37.2736533,-121.9474697,2019-05-20,02:30 PM,eBird - Traveling Count,180,1,8.047,,1,,,Campbell Park along Los Gatos Trail to Oka Ponds and back.
S78843835,Canada Goose,Branta canadensis,330,100,US-CA,Santa Clara,L954210,Mayfield Slough,37.450843,-122.1023512,2021-01-07,08:00 AM,eBird - Traveling Count,90,1,4.023,,2
S79658389,Canada Goose,Branta canadensis,330,36,US-CA,Santa Clara,L954210,Mayfield Slough,37.450843,-122.1023512,2021-01-21,08:00 AM,eBird - Traveling Count,100,1,4.828,,2
S80425793,Canada Goose,Branta canadensis,330,24,US-CA,Santa Clara,L954210,Mayfield Slough,37.450843,-122.1023512,2021-02-04,08:30 AM,eBird - Traveling Count,90,1,4.828,,2
S81912259,Canada Goose,Branta canadensis,330,36,US-CA,Santa Clara,L954210,Mayfield Slough,37.450843,-122.1023512,2021-02-18,08:00 AM,eBird - Traveling Count,140,1,8.047,,2
S74078471,Canada Goose,Branta canadensis,330,7,US-CA,Santa Clara,L299860,McClellan Ranch Preserve,37.3140655,-122.0630121,2020-09-25,02:00 PM,eBird - Traveling Count,60,1,3.219,,1
S58923725,Canada Goose,Branta canadensis,330,1,US-CA,Santa Clara,L152122,Palo Alto Baylands,37.459167,-122.10445,2019-08-11,09:00 AM,eBird - Traveling Count,120,1,4.023,,30,,,Santa Clara Valley Audubon Society outing led by Alan Royer.
S69763442,Canada Goose,Branta canadensis,330,24,US-CA,Santa Clara,L152122,Palo Alto Baylands,37.459167,-122.10445,2020-05-28,08:00 AM,eBird - Traveling Count,150,1,3.219,,2
S86681843,Canada Goose,Branta canadensis,330,8,US-CA,Santa Clara,L152122,Palo Alto Baylands,37.459167,-122.10445,2021-04-29,08:00 AM,eBird - Traveling Count,195,1,4.023,,2
S71844847,Canada Goose,Branta canadensis,330,24,US-CA,Santa Clara,L1276127,Raynor Park,37.3439034,-122.0063281,2020-07-26,07:30 AM,eBird - Traveling Count,90,1,5.633,,1
S51072140,Canada Goose,Branta canadensis,330,8,US-CA,Santa Clara,L279302,Santa Clara Valley Water District,37.2480176,-121.8728828,2018-12-29,07:00 AM,eBird - Traveling Count,150,1,1.609,,7,,,"Christmas bird count group, first half"
S68387859,Canada Goose,Branta canadensis,330,3,US-CA,Santa Clara,L8584761,Santana Park,37.3178542,-121.944809,2020-05-04,07:15 AM,eBird - Traveling Count,75,1,4.426,,1
S69670798,Canada Goose,Branta canadensis,330,24,US-CA,Santa Clara,L8584761,Santana Park,37.3178542,-121.944809,2020-05-26,07:00 AM,eBird - Traveling Count,80,1,4.828,,1
S82869559,Canada Goose,Branta canadensis,330,2,US-CA,Santa Clara,L8584761,Santana Park,37.3178542,-121.944809,2021-03-06,08:00 AM,eBird - Traveling Count,75,1,4.023,,1
S84145865,Canada Goose,Branta canadensis,330,2,US-CA,Santa Clara,L8584761,Santana Park,37.3178542,-121.944809,2021-03-26,08:00 AM,eBird - Traveling Count,75,1,4.828,,1
S85100637,Canada Goose,Branta canadensis,330,2,US-CA,Santa Clara,L8584761,Santana Park,37.3178542,-121.944809,2021-04-07,08:30 AM,eBird - Traveling Count,60,1,4.023,,1
S86042126,Canada Goose,Branta canadensis,330,2,US-CA,Santa Clara,L8584761,Santana Park,37.3178542,-121.944809,2021-04-21,09:00 AM,eBird - Traveling Count,105,1,6.437,,1
S54027421,Canada Goose,Branta canadensis,330,40,US-CA,Santa Clara,L1139143,St. Joseph's Hill OSP,37.2027826,-121.9828749,2019-03-19,12:00 PM,eBird - Traveling Count,180,1,9.656,,1,,,From Priest Road Trailhead down along Los Gatos Creek Trail to Oka Ponds Bridge and back.
S50436443,Canada Goose,Branta canadensis,330,10,US-CA,Santa Clara,L419997,Stevens Creek Trail--north of US-101,37.4216539,-122.0688885,2018-12-04,11:00 AM,eBird - Traveling Count,120,1,4.023,,1
S144763870,Canada Goose,Branta canadensis,330,60,US-CA,Santa Clara,L279204,Sunnyvale WPCP (please use a more specific hotspot where possible),37.4198391,-122.0144261,2023-07-16,08:30 AM,eBird - Traveling Count,60,1,8.047,,1,,,Out past the radar station along Moffett Channel maybe 2 miles.
S63820961,Canada Goose,Branta canadensis,330,6,US-CA,Santa Clara,L868971,Sunnyvale WPCP--Lockheed Ponds and Marsh adjacent to Yahoo,37.4215375,-122.0243955,2020-01-26,08:00 AM,eBird - Traveling Count,180,1,6.437,,10
S145444246,Canada Goose,Branta canadensis,330,24,US-CA,Santa Clara,L868971,Sunnyvale WPCP--Lockheed Ponds and Marsh adjacent to Yahoo,37.4215375,-122.0243955,2023-07-23,09:00 AM,eBird - Traveling Count,60,1,4.828,,1
S56773388,Canada Goose,Branta canadensis,330,12,US-CA,Santa Clara,L773892,Ulistac Natural Area,37.4057129,-121.9552374,2019-05-26,08:00 AM,eBird - Traveling Count,180,1,4.828,,25,,,"Santa Clara Valley Audubon Society field trip led by Chris Johnson: outer loop via levee, followed by inner loop on trails."
S52644654,Canada Goose,Branta canadensis,330,60,US-CA,Santa Clara,L210223,Vasona Lake County Park,37.2385116,-121.9709873,2019-02-12,03:00 PM,eBird - Traveling Count,120,1,6.437,,1,,,"From Main St in Los Gatos along Los Gatos Creek Trail (looking for but not finding the American Dippers) to Vasona Lake Park, and back."
S53039520,Canada Goose,Branta canadensis,330,60,US-CA,Santa Clara,L210223,Vasona Lake County Park,37.2385116,-121.9709873,2019-02-22,02:30 PM,eBird - Traveling Count,150,1,4.828,,1
S154383018,Canada Goose,Branta canadensis,330,36,US-CA,Santa Clara,L210223,Vasona Lake County Park,37.2385116,-121.9709873,2023-11-12,02:00 PM,eBird - Traveling Count,150,1,9.656,,1,,,Both sides of the lake.
S68731545,Canada Goose,Branta canadensis,330,6,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2020-05-09,07:30 AM,eBird - Traveling Count,90,1,4.828,,1
S72256101,Canada Goose,Branta canadensis,330,5,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2020-08-09,08:00 AM,eBird - Traveling Count,90,1,4.828,,1
S75397670,Canada Goose,Branta canadensis,330,24,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2020-10-25,08:30 AM,eBird - Traveling Count,90,1,4.828,,1
S75708852,Canada Goose,Branta canadensis,330,12,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2020-11-01,08:30 AM,eBird - Traveling Count,90,1,5.633,,1
S78091791,Canada Goose,Branta canadensis,330,24,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2020-12-27,08:30 AM,eBird - Traveling Count,90,1,4.828,,1
