Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S90432966,Violet-green Swallow,Tachycineta thalassina,23844,3,US-CA,Santa Clara,L8584761,Santana Park,37.3178542,-121.944809,2021-06-19,08:00 AM,eBird - Traveling Count,60,1,4.023,,1
S90696218,Violet-green Swallow,Tachycineta thalassina,23844,6,US-CA,Santa Clara,L8584761,Santana Park,37.3178542,-121.944809,2021-06-24,07:30 AM,eBird - Traveling Count,60,1,4.023,,1
S90811144,Violet-green Swallow,Tachycineta thalassina,23844,4,US-CA,Santa Clara,L8584761,Santana Park,37.3178542,-121.944809,2021-06-25,07:30 AM,eBird - Traveling Count,60,1,4.023,,1
S91151235,Violet-green Swallow,Tachycineta thalassina,23844,4,US-CA,Santa Clara,L8584761,Santana Park,37.3178542,-121.944809,2021-06-28,07:30 AM,eBird - Traveling Count,60,1,4.023,,1
S137866364,Violet-green Swallow,Tachycineta thalassina,23844,16,US-CA,Santa Clara,L8584761,Santana Park,37.3178542,-121.944809,2023-05-15,08:00 AM,eBird - Traveling Count,60,1,4.023,,1
S138047558,Violet-green Swallow,Tachycineta thalassina,23844,12,US-CA,Santa Clara,L8584761,Santana Park,37.3178542,-121.944809,2023-05-16,09:00 AM,eBird - Traveling Count,60,1,3.219,,1
S138531633,Violet-green Swallow,Tachycineta thalassina,23844,12,US-CA,Santa Clara,L8584761,Santana Park,37.3178542,-121.944809,2023-05-19,08:00 AM,eBird - Traveling Count,30,1,1.609,,1
S139343324,Violet-green Swallow,Tachycineta thalassina,23844,12,US-CA,Santa Clara,L8584761,Santana Park,37.3178542,-121.944809,2023-05-25,08:00 AM,eBird - Traveling Count,60,1,4.023,,1
S140034859,Violet-green Swallow,Tachycineta thalassina,23844,8,US-CA,Santa Clara,L8584761,Santana Park,37.3178542,-121.944809,2023-05-31,08:00 AM,eBird - Traveling Count,60,1,4.023,,1,,,Most of the sightings were on Genevieve just north of Scott.
S140901102,Violet-green Swallow,Tachycineta thalassina,23844,12,US-CA,Santa Clara,L8584761,Santana Park,37.3178542,-121.944809,2023-06-07,07:30 AM,eBird - Traveling Count,60,1,4.023,,1
S140900705,Violet-green Swallow,Tachycineta thalassina,23844,8,US-CA,Santa Clara,L8584761,Santana Park,37.3178542,-121.944809,2023-06-08,08:30 AM,eBird - Traveling Count,60,1,4.023,,1
S141454959,Violet-green Swallow,Tachycineta thalassina,23844,8,US-CA,Santa Clara,L8584761,Santana Park,37.3178542,-121.944809,2023-06-13,08:30 AM,eBird - Traveling Count,30,1,1.609,,1
S141640623,Violet-green Swallow,Tachycineta thalassina,23844,6,US-CA,Santa Clara,L8584761,Santana Park,37.3178542,-121.944809,2023-06-15,08:00 AM,eBird - Traveling Count,60,1,3.219,,1
S48920553,Violet-green Swallow,Tachycineta thalassina,23844,2,US-CA,Santa Clara,L3524736,Shorebird Way rookery,37.4192471,-122.0714012,2018-09-30,09:30 AM,eBird - Traveling Count,120,1,2.253,,25,,,"Ralph Schardt, executive director of Santa Clara Valley Audubon Society, led the group."
S56627117,Violet-green Swallow,Tachycineta thalassina,23844,8,US-CA,Santa Clara,L773892,Ulistac Natural Area,37.4057129,-121.9552374,2019-05-21,04:00 PM,eBird - Traveling Count,120,1,3.219,,1
S56773388,Violet-green Swallow,Tachycineta thalassina,23844,6,US-CA,Santa Clara,L773892,Ulistac Natural Area,37.4057129,-121.9552374,2019-05-26,08:00 AM,eBird - Traveling Count,180,1,4.828,,25,,,"Santa Clara Valley Audubon Society field trip led by Chris Johnson: outer loop via levee, followed by inner loop on trails."
S85399153,Violet-green Swallow,Tachycineta thalassina,23844,18,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-04-11,09:30 AM,eBird - Traveling Count,90,1,5.633,,1
S85846036,Violet-green Swallow,Tachycineta thalassina,23844,36,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-04-18,08:30 AM,eBird - Traveling Count,120,1,6.437,,1
S86353428,Violet-green Swallow,Tachycineta thalassina,23844,12,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-04-25,09:00 AM,eBird - Traveling Count,90,1,5.633,,1
S87039541,Violet-green Swallow,Tachycineta thalassina,23844,18,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-05-02,08:30 AM,eBird - Traveling Count,120,1,6.437,,1
S87738382,Violet-green Swallow,Tachycineta thalassina,23844,24,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-05-09,09:00 AM,eBird - Traveling Count,120,1,5.633,,1
S88309037,Violet-green Swallow,Tachycineta thalassina,23844,12,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-05-16,09:00 AM,eBird - Traveling Count,105,1,5.633,,1
S88857194,Violet-green Swallow,Tachycineta thalassina,23844,6,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-05-23,08:30 AM,eBird - Traveling Count,150,1,5.633,,1
S89295985,Violet-green Swallow,Tachycineta thalassina,23844,6,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-05-30,09:00 AM,eBird - Traveling Count,120,1,5.633,,1
S89768964,Violet-green Swallow,Tachycineta thalassina,23844,8,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-06-06,09:00 AM,eBird - Traveling Count,135,1,6.437,,1
S90130947,Violet-green Swallow,Tachycineta thalassina,23844,8,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-06-13,09:00 AM,eBird - Traveling Count,120,1,5.633,,1
S90532788,Violet-green Swallow,Tachycineta thalassina,23844,16,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-06-20,08:30 AM,eBird - Traveling Count,120,1,5.633,,1
S53922549,Violet-green Swallow,Tachycineta thalassina,23844,30,US-OR,Washington,L498314,Tualatin River NWR--Atfálat'i Unit,45.3817834,-122.8312254,2019-03-11,04:00 PM,eBird - Traveling Count,120,1,3.219,,1
S182883158,Purple Martin,Progne subis,23851,1,US-NJ,Somerset,L32301980,"Laurelwood / Round Top, Bernardsville, NJ",40.71532,-74.580211,2024-06-21,08:30 AM,eBird - Traveling Count,120,1,7.242,,1
S169610063,Purple Martin,Progne subis,23851,1,US-NJ,Somerset,L30869750,Moraine Crest Park,40.7107291,-74.5638128,2024-04-18,10:00 AM,eBird - Traveling Count,90,1,5.633,,1
S169838304,Purple Martin,Progne subis,23851,1,US-NJ,Somerset,L30869750,Moraine Crest Park,40.7107291,-74.5638128,2024-04-21,10:00 AM,eBird - Traveling Count,90,1,5.633,,1
S186630870,Purple Martin,Progne subis,23851,18,US-NJ,Somerset,L33284784,Seney Drive,40.7322975,-74.5661989,2024-07-12,10:00 AM,eBird - Traveling Count,90,1,8.047,,1
S171021747,Purple Martin,Progne subis,23851,1,US-NJ,Somerset,L29169265,Somerset Hills Country Club,40.722964,-74.580061,2024-04-29,09:30 AM,eBird - Traveling Count,120,1,8.047,,1,,,"Mt. Airy Rd &gt; Anderson Hill Rd &gt; Clarendon &gt; Olcott Ln &gt; Round Top Rd (on the golf course lane) &gt; Laurelwood and back, with stop on 123 Clarendon at Goldfinch.Cafe for a cortado."
S185302472,Purple Martin,Progne subis,23851,20,US-NJ,Somerset,L29169265,Somerset Hills Country Club,40.722964,-74.580061,2024-07-04,09:30 AM,eBird - Traveling Count,90,1,6.437,,1
S56949733,Northern Rough-winged Swallow,Stelgidopteryx serripennis,23876,24,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2019-05-28,04:00 PM,eBird - Traveling Count,120,1,4.828,,1
S56471727,Northern Rough-winged Swallow,Stelgidopteryx serripennis,23876,2,US-CA,Santa Clara,L790030,Coyote Creek Parkway--trailhead,37.1672933,-121.6489506,2019-05-18,08:30 AM,eBird - Traveling Count,150,1,3.219,,15,,,Santa Clara Valley Audubon Society outing led by Eve Meier (I've only listed the birds that I actually saw).
S71847836,Northern Rough-winged Swallow,Stelgidopteryx serripennis,23876,4,US-CA,Santa Clara,L694875,Emily Renzel Wetlands,37.4425693,-122.1150649,2020-07-23,08:00 AM,eBird - Traveling Count,75,1,1.609,,2
S84556354,Northern Rough-winged Swallow,Stelgidopteryx serripennis,23876,6,US-CA,Santa Clara,L694875,Emily Renzel Wetlands,37.4425693,-122.1150649,2021-04-01,08:00 AM,eBird - Traveling Count,60,1,2.414,,2
S71638770,Northern Rough-winged Swallow,Stelgidopteryx serripennis,23876,4,US-CA,Santa Clara,L4197326,Guadalupe River Park,37.3439932,-121.9047475,2020-07-19,08:30 AM,eBird - Traveling Count,75,1,4.023,,1
S71232925,Northern Rough-winged Swallow,Stelgidopteryx serripennis,23876,10,US-CA,Santa Clara,L199667,Los Alamitos Creek Trail--Almaden Lake Park,37.2381022,-121.8708828,2020-07-07,08:30 AM,eBird - Traveling Count,80,1,4.023,,1
S142704082,Northern Rough-winged Swallow,Stelgidopteryx serripennis,23876,36,US-CA,Santa Clara,L295710,Los Gatos Creek County Park and Oka Ponds,37.2664712,-121.9515038,2023-06-25,09:00 AM,eBird - Traveling Count,120,1,9.656,,1
S56566606,Northern Rough-winged Swallow,Stelgidopteryx serripennis,23876,24,US-CA,Santa Clara,L1148142,Los Gatos Creek Trail--north of Camden Ave.,37.2736533,-121.9474697,2019-05-20,02:30 PM,eBird - Traveling Count,180,1,8.047,,1,,,Campbell Park along Los Gatos Trail to Oka Ponds and back.
S143574789,Northern Rough-winged Swallow,Stelgidopteryx serripennis,23876,2,US-CA,Santa Clara,L5959248,San Jose Municipal Rose Garden,37.3319145,-121.9286299,2023-07-04,09:00 AM,eBird - Traveling Count,120,1,8.047,,1
S142087657,Northern Rough-winged Swallow,Stelgidopteryx serripennis,23876,8,US-CA,Santa Clara,L8584761,Santana Park,37.3178542,-121.944809,2023-06-19,08:30 AM,eBird - Traveling Count,60,1,4.023,,1
S142180953,Northern Rough-winged Swallow,Stelgidopteryx serripennis,23876,18,US-CA,Santa Clara,L8584761,Santana Park,37.3178542,-121.944809,2023-06-20,08:00 AM,eBird - Traveling Count,90,1,4.023,,1
S142597222,Northern Rough-winged Swallow,Stelgidopteryx serripennis,23876,4,US-CA,Santa Clara,L8584761,Santana Park,37.3178542,-121.944809,2023-06-24,08:30 AM,eBird - Traveling Count,60,1,4.023,,1,,,Park &gt; Genevieve &gt; Safeway and back
S54027421,Northern Rough-winged Swallow,Stelgidopteryx serripennis,23876,20,US-CA,Santa Clara,L1139143,St. Joseph's Hill OSP,37.2027826,-121.9828749,2019-03-19,12:00 PM,eBird - Traveling Count,180,1,9.656,,1,,,From Priest Road Trailhead down along Los Gatos Creek Trail to Oka Ponds Bridge and back.
S56627117,Northern Rough-winged Swallow,Stelgidopteryx serripennis,23876,12,US-CA,Santa Clara,L773892,Ulistac Natural Area,37.4057129,-121.9552374,2019-05-21,04:00 PM,eBird - Traveling Count,120,1,3.219,,1
S56741742,Northern Rough-winged Swallow,Stelgidopteryx serripennis,23876,30,US-CA,Santa Clara,L773892,Ulistac Natural Area,37.4057129,-121.9552374,2019-05-25,04:30 PM,eBird - Traveling Count,120,1,4.828,,1
S56773388,Northern Rough-winged Swallow,Stelgidopteryx serripennis,23876,18,US-CA,Santa Clara,L773892,Ulistac Natural Area,37.4057129,-121.9552374,2019-05-26,08:00 AM,eBird - Traveling Count,180,1,4.828,,25,,,"Santa Clara Valley Audubon Society field trip led by Chris Johnson: outer loop via levee, followed by inner loop on trails."
S194432413,Northern Rough-winged Swallow,Stelgidopteryx serripennis,23876,1,US-NJ,Somerset,L6960508,"Dunham Park, Basking Ridge",40.665371,-74.59371,2024-09-08,10:00 AM,eBird - Traveling Count,660,1,5.633,,1
S114361663,Barn Swallow,Hirundo rustica,23957,12,US-MN,Dakota,L303740,180th St. Marsh (Marshall's Marsh),44.68822,-92.9659032,2022-07-03,07:00 PM,eBird - Stationary Count,60,1,,,2
S135135415,Barn Swallow,Hirundo rustica,23957,1,US-MN,Dakota,L303740,180th St. Marsh (Marshall's Marsh),44.68822,-92.9659032,2023-04-26,11:00 AM,eBird - Traveling Count,60,1,1.609,,2
S114168126,Barn Swallow,Hirundo rustica,23957,12,US-MN,Hennepin,L152123,Wood Lake Nature Center,44.8773731,-93.2931089,2022-07-01,10:00 AM,eBird - Traveling Count,120,1,2.414,,2
S59251054,Barn Swallow,Hirundo rustica,23957,10,US-CA,Humboldt,L189487,Arcata Marsh and Wildlife Sanctuary,40.857361,-124.094612,2019-08-22,03:00 PM,eBird - Traveling Count,120,1,4.023,,1,,,Interpretive Center &gt; around Klopp Lake &gt; around Arcata Marsh
S110047759,Barn Swallow,Hirundo rustica,23957,10,US-MN,Ramsey,L19041059,Crosby Farm Regional Park (East),44.908577,-93.146309,2022-05-14,09:00 AM,eBird - Traveling Count,90,1,1.609,,2
S115545253,Barn Swallow,Hirundo rustica,23957,1,US-MN,Ramsey,L208442,Lake Como,44.979462,-93.1406307,2022-07-22,09:00 AM,eBird - Traveling Count,75,1,3.219,,2
S115735862,Barn Swallow,Hirundo rustica,23957,2,US-MN,Ramsey,L208442,Lake Como,44.979462,-93.1406307,2022-07-25,08:30 AM,eBird - Traveling Count,90,1,4.828,,2
S54687679,Barn Swallow,Hirundo rustica,23957,20,US-CA,Santa Clara,L8999016,Bay Trail - Shoreline Lake,37.4353701,-122.0952026,2019-04-06,08:00 AM,eBird - Traveling Count,180,1,4.828,,7,,,"From the Shoreline Lake boathouse out to the Bay Trail, north to join Santa Clara Valley Audubon Society Big Sit (separate list), then back around the west side of the lake between golf course and playing fields."
S54688115,Barn Swallow,Hirundo rustica,23957,40,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2019-04-07,09:00 AM,eBird - Traveling Count,120,1,1.609,,10,,,Most with the Santa Clara Valley Society photography group.
S56206730,Barn Swallow,Hirundo rustica,23957,24,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2019-05-12,09:00 AM,eBird - Traveling Count,120,1,4.828,,30
S56949733,Barn Swallow,Hirundo rustica,23957,24,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2019-05-28,04:00 PM,eBird - Traveling Count,120,1,4.828,,1
S70320984,Barn Swallow,Hirundo rustica,23957,20,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-06-11,08:00 AM,eBird - Traveling Count,60,1,3.219,,2
S70613225,Barn Swallow,Hirundo rustica,23957,30,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-06-18,08:00 AM,eBird - Traveling Count,90,1,3.219,,1
S71058521,Barn Swallow,Hirundo rustica,23957,40,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-07-02,08:00 AM,eBird - Traveling Count,90,1,4.828,,2
S72379830,Barn Swallow,Hirundo rustica,23957,24,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-08-13,08:00 AM,eBird - Traveling Count,75,1,3.219,,2
S85661736,Barn Swallow,Hirundo rustica,23957,4,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2021-04-15,08:00 AM,eBird - Traveling Count,120,1,5.633,,2
S88011724,Barn Swallow,Hirundo rustica,23957,12,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2021-05-13,08:00 AM,eBird - Traveling Count,120,1,3.219,,2
S89056031,Barn Swallow,Hirundo rustica,23957,36,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2021-05-26,08:00 AM,eBird - Traveling Count,180,1,4.426,,2
S89956531,Barn Swallow,Hirundo rustica,23957,12,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2021-06-10,08:00 AM,eBird - Traveling Count,120,1,6.035,,2
S56471727,Barn Swallow,Hirundo rustica,23957,2,US-CA,Santa Clara,L790030,Coyote Creek Parkway--trailhead,37.1672933,-121.6489506,2019-05-18,08:30 AM,eBird - Traveling Count,150,1,3.219,,15,,,Santa Clara Valley Audubon Society outing led by Eve Meier (I've only listed the birds that I actually saw).
S57065316,Barn Swallow,Hirundo rustica,23957,4,US-CA,Santa Clara,L1454658,Coyote Valley OSP,37.1699462,-121.7360955,2019-06-03,07:29 AM,eBird - Traveling Count,200,1,1.609,,14,,,SCVAS Field Trip. Fog held on until about 9:30 or so
S71847836,Barn Swallow,Hirundo rustica,23957,20,US-CA,Santa Clara,L694875,Emily Renzel Wetlands,37.4425693,-122.1150649,2020-07-23,08:00 AM,eBird - Traveling Count,75,1,1.609,,2
S67151373,Barn Swallow,Hirundo rustica,23957,2,US-CA,Santa Clara,L4197326,Guadalupe River Park,37.3439932,-121.9047475,2020-04-13,08:30 AM,eBird - Traveling Count,90,1,3.219,,1
S71232925,Barn Swallow,Hirundo rustica,23957,10,US-CA,Santa Clara,L199667,Los Alamitos Creek Trail--Almaden Lake Park,37.2381022,-121.8708828,2020-07-07,08:30 AM,eBird - Traveling Count,80,1,4.023,,1
S58923725,Barn Swallow,Hirundo rustica,23957,60,US-CA,Santa Clara,L152122,Palo Alto Baylands,37.459167,-122.10445,2019-08-11,09:00 AM,eBird - Traveling Count,120,1,4.023,,30,,,Santa Clara Valley Audubon Society outing led by Alan Royer.
S69823178,Barn Swallow,Hirundo rustica,23957,2,US-CA,Santa Clara,L152122,Palo Alto Baylands,37.459167,-122.10445,2020-05-28,07:58 AM,eBird - Traveling Count,168,1,1.609,,2,,,Saw the Ridgway's Rail!
S69763442,Barn Swallow,Hirundo rustica,23957,30,US-CA,Santa Clara,L152122,Palo Alto Baylands,37.459167,-122.10445,2020-05-28,08:00 AM,eBird - Traveling Count,150,1,3.219,,2
S86681843,Barn Swallow,Hirundo rustica,23957,36,US-CA,Santa Clara,L152122,Palo Alto Baylands,37.459167,-122.10445,2021-04-29,08:00 AM,eBird - Traveling Count,195,1,4.023,,2
S144763870,Barn Swallow,Hirundo rustica,23957,36,US-CA,Santa Clara,L279204,Sunnyvale WPCP (please use a more specific hotspot where possible),37.4198391,-122.0144261,2023-07-16,08:30 AM,eBird - Traveling Count,60,1,8.047,,1,,,Out past the radar station along Moffett Channel maybe 2 miles.
S145444246,Barn Swallow,Hirundo rustica,23957,24,US-CA,Santa Clara,L868971,Sunnyvale WPCP--Lockheed Ponds and Marsh adjacent to Yahoo,37.4215375,-122.0243955,2023-07-23,09:00 AM,eBird - Traveling Count,60,1,4.828,,1
S56773388,Barn Swallow,Hirundo rustica,23957,6,US-CA,Santa Clara,L773892,Ulistac Natural Area,37.4057129,-121.9552374,2019-05-26,08:00 AM,eBird - Traveling Count,180,1,4.828,,25,,,"Santa Clara Valley Audubon Society field trip led by Chris Johnson: outer loop via levee, followed by inner loop on trails."
S92807082,Barn Swallow,Hirundo rustica,23957,30,US-CA,Santa Clara,L16013540,stevens creek shoreline,37.4309438,-122.0660019,2021-08-05,08:00 AM,eBird - Traveling Count,120,1,5.633,,2
S173612401,Barn Swallow,Hirundo rustica,23957,10,US-NJ,Somerset,L32301980,"Laurelwood / Round Top, Bernardsville, NJ",40.71532,-74.580211,2024-05-11,09:00 AM,eBird - Traveling Count,180,1,8.047,,1,,,"Mt. Airy &gt; Claremont &gt; Round Top Rd &gt; Laurelwood &gt; Bernardsville Trail (""Round Top Trail"") &gt; Hwy 202 &gt; Mt   Airy"
S175443878,Barn Swallow,Hirundo rustica,23957,8,US-NJ,Somerset,L209724,Lord Stirling Park,40.6951161,-74.5205601,2024-05-18,08:30 AM,eBird - Traveling Count,210,1,8.047,,20,,,NJ Audubon bird walk led by Dave Oster
S192729353,Barn Swallow,Hirundo rustica,23957,6,US-NJ,Somerset,L209724,Lord Stirling Park,40.6951161,-74.5205601,2024-08-25,09:00 AM,eBird - Traveling Count,90,1,5.633,,1,,,Around the lake (quickly -- mosquito season!) and then down Lord Stirling Rd. to St. Mark's in Basking Ridge.
S184212813,Barn Swallow,Hirundo rustica,23957,1,US-NJ,Somerset,L29169265,Somerset Hills Country Club,40.722964,-74.580061,2024-06-28,10:30 AM,eBird - Traveling Count,90,1,7.242,,1
S112398456,Barn Swallow,Hirundo rustica,23957,3,US-MN,Washington,L355485,Afton SP,44.8554802,-92.7749723,2022-06-07,11:00 AM,eBird - Traveling Count,60,1,3.219,,4
S59500155,Barn Swallow,Hirundo rustica,23957,12,US-OR,Washington,L498314,Tualatin River NWR--Atfálat'i Unit,45.3817834,-122.8312254,2019-09-03,01:30 PM,eBird - Traveling Count,120,1,4.828,,1
S55096552,Barn Swallow,Hirundo rustica,23957,1,MX-DIF,Xochimilco,L6478768,Bosque de Nativitas,19.248951,-99.0986109,2019-04-18,10:00 AM,eBird - Traveling Count,120,1,4.828,,5,,,"Xochimilco, CDMX"
S58362182,Cliff Swallow,Petrochelidon pyrrhonota,24051,10,US-CA,Alameda,L1341883,Coyote Hills Regional Park--Visitor Center area,37.5533565,-122.0907479,2019-07-21,05:30 PM,eBird - Traveling Count,90,1,4.023,,1,,,Over to the SF Bay and back.
S56206730,Cliff Swallow,Petrochelidon pyrrhonota,24051,12,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2019-05-12,09:00 AM,eBird - Traveling Count,120,1,4.828,,30
S68453585,Cliff Swallow,Petrochelidon pyrrhonota,24051,50,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-05-05,08:00 AM,eBird - Traveling Count,120,1,3.219,,2
S70320984,Cliff Swallow,Petrochelidon pyrrhonota,24051,20,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-06-11,08:00 AM,eBird - Traveling Count,60,1,3.219,,2
S70613225,Cliff Swallow,Petrochelidon pyrrhonota,24051,10,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-06-18,08:00 AM,eBird - Traveling Count,90,1,3.219,,1
S71058521,Cliff Swallow,Petrochelidon pyrrhonota,24051,20,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-07-02,08:00 AM,eBird - Traveling Count,90,1,4.828,,2
S72379830,Cliff Swallow,Petrochelidon pyrrhonota,24051,16,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2020-08-13,08:00 AM,eBird - Traveling Count,75,1,3.219,,2
S85661736,Cliff Swallow,Petrochelidon pyrrhonota,24051,24,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2021-04-15,08:00 AM,eBird - Traveling Count,120,1,5.633,,2
S88011724,Cliff Swallow,Petrochelidon pyrrhonota,24051,24,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2021-05-13,08:00 AM,eBird - Traveling Count,120,1,3.219,,2
S89056031,Cliff Swallow,Petrochelidon pyrrhonota,24051,24,US-CA,Santa Clara,L730351,Charleston Slough/Coast Casey Forebay,37.4359191,-122.098918,2021-05-26,08:00 AM,eBird - Traveling Count,180,1,4.426,,2
S56471727,Cliff Swallow,Petrochelidon pyrrhonota,24051,1,US-CA,Santa Clara,L790030,Coyote Creek Parkway--trailhead,37.1672933,-121.6489506,2019-05-18,08:30 AM,eBird - Traveling Count,150,1,3.219,,15,,,Santa Clara Valley Audubon Society outing led by Eve Meier (I've only listed the birds that I actually saw).
S84556354,Cliff Swallow,Petrochelidon pyrrhonota,24051,12,US-CA,Santa Clara,L694875,Emily Renzel Wetlands,37.4425693,-122.1150649,2021-04-01,08:00 AM,eBird - Traveling Count,60,1,2.414,,2
S54187624,Cliff Swallow,Petrochelidon pyrrhonota,24051,40,US-CA,Santa Clara,L279253,Lake Cunningham,37.3354711,-121.8062038,2019-03-24,09:00 AM,eBird - Traveling Count,180,1,3.219,,30,,,"Led jointly for Openspace, Santa Clara Valley chapter of the California Native Plant Society, and Santa Clara Valley Audubon Society."
S69516748,Cliff Swallow,Petrochelidon pyrrhonota,24051,4,US-CA,Santa Clara,L279253,Lake Cunningham,37.3354711,-121.8062038,2020-05-23,08:00 AM,eBird - Traveling Count,60,1,3.219,,1
S58923725,Cliff Swallow,Petrochelidon pyrrhonota,24051,50,US-CA,Santa Clara,L152122,Palo Alto Baylands,37.459167,-122.10445,2019-08-11,09:00 AM,eBird - Traveling Count,120,1,4.023,,30,,,Santa Clara Valley Audubon Society outing led by Alan Royer.
S69823178,Cliff Swallow,Petrochelidon pyrrhonota,24051,1,US-CA,Santa Clara,L152122,Palo Alto Baylands,37.459167,-122.10445,2020-05-28,07:58 AM,eBird - Traveling Count,168,1,1.609,,2,,,Saw the Ridgway's Rail!
S69763442,Cliff Swallow,Petrochelidon pyrrhonota,24051,30,US-CA,Santa Clara,L152122,Palo Alto Baylands,37.459167,-122.10445,2020-05-28,08:00 AM,eBird - Traveling Count,150,1,3.219,,2
S86681843,Cliff Swallow,Petrochelidon pyrrhonota,24051,24,US-CA,Santa Clara,L152122,Palo Alto Baylands,37.459167,-122.10445,2021-04-29,08:00 AM,eBird - Traveling Count,195,1,4.023,,2
S57580193,Cliff Swallow,Petrochelidon pyrrhonota,24051,5,US-CA,Santa Clara,L7519152,Washington Park--Sunnyvale (SCL Co.),37.377675,-122.039589,2019-06-21,02:30 PM,eBird - Traveling Count,60,1,3.219,,1
S70924218,Cliff Swallow,Petrochelidon pyrrhonota,24051,20,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2020-06-28,08:00 AM,eBird - Traveling Count,120,1,5.633,,1
S87039541,Cliff Swallow,Petrochelidon pyrrhonota,24051,24,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-05-02,08:30 AM,eBird - Traveling Count,120,1,6.437,,1
S87738382,Cliff Swallow,Petrochelidon pyrrhonota,24051,36,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-05-09,09:00 AM,eBird - Traveling Count,120,1,5.633,,1
S88309037,Cliff Swallow,Petrochelidon pyrrhonota,24051,12,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-05-16,09:00 AM,eBird - Traveling Count,105,1,5.633,,1
S89295985,Cliff Swallow,Petrochelidon pyrrhonota,24051,6,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-05-30,09:00 AM,eBird - Traveling Count,120,1,5.633,,1
S89768964,Cliff Swallow,Petrochelidon pyrrhonota,24051,4,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2021-06-06,09:00 AM,eBird - Traveling Count,135,1,6.437,,1
S142003582,Cliff Swallow,Petrochelidon pyrrhonota,24051,24,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2023-06-18,09:30 AM,eBird - Traveling Count,90,1,7.242,,1,,,"From the bus stop, up the east side of Vasona Creek to the tennis courts and back down the west side."
S146033822,Cliff Swallow,Petrochelidon pyrrhonota,24051,24,US-CA,Santa Clara,L5559726,West Valley College,37.2634656,-122.0093966,2023-07-30,09:30 AM,eBird - Traveling Count,90,1,8.047,,1
